desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0008004,CP CRECHE COMUNITÁRIA NINO,Creche Parceira,8.21,Vila Kennedy,186,45,106,-22.85888,-43.48897
0008005,CP CRECHE E ESCOLA COMUNITÁRIA GENTE INOCENTE - REALENGO,Creche Parceira,8.17,Realengo,87,76,12,-22.86258,-43.45247
0008006,CP FUNDAÇÃO CASA DA JOANINHA - CRECHE,Creche Parceira,8.14,Magalhães Bastos,54,40,7,-22.8683,-43.42191
0008007,CP CRECHE E ESCOLA COMUNITÁRIA GENTE INOCENTE - BANGU,Creche Parceira,8.17,Bangu,132,112,9,-22.86207,-43.45702
0008008,CP ASSOCIAÇÃO DE MORADORES DO CONJUNTO PEDRO I E ADJACÊNCIAS,Creche Parceira,8.4,Realengo,28,42,0,-22.88605,-43.42591
0008009,CP ASSOCIAÇÃO RECREATIVA PINGUINHO DE GENTE,Creche Parceira,8.20,Senador Camará,210,34,141,-22.87421,-43.48822
0008010,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL III,Creche Parceira,8.6,Realengo,182,33,64,-22.88308,-43.43711
0008011,CP ESPAÇO DE EDUCAÇÃO INFANTIL BATAN,Creche Parceira,8.12,Realengo,131,77,0,-22.88083,-43.49267
0008013,CP CENTRO EDUCACIONAL LUIZA,Creche Parceira,8.6,Realengo,95,79,6,-22.8799,-43.43653
0008014,"CP DO.RA., A AVENTUREIRA",Creche Parceira,8.9,Bangu,86,71,9,-22.88082,-43.4709
0008016,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL VI,Creche Parceira,8.4,Realengo,196,126,24,-22.88321,-43.42582
0008018,CP CRECHE COMUNITÁRIA ESTRELINHA,Creche Parceira,8.20,Senador Camará,59,55,9,-22.87388,-43.48101
0008019,CP ESCOLA COMUNITÁRIA JARDIM ARCO-ÍRIS - UNIDADE II,Creche Parceira,8.4,Realengo,67,94,0,-22.89115,-43.42064
0008021,CP ASSOCIAÇÃO RECREATIVA MUNDO MÁGICO DA TIA NATY,Creche Parceira,8.15,Padre Miguel,106,23,18,-22.87342,-43.43952
0008023,CP CRECHE COMUNITÁRIA IRMÃ MARIA DE LOURDES,Creche Parceira,8.21,Vila Kennedy,38,40,27,-22.85592,-43.48252
0008025,CP ASSOCIAÇÃO RECREATIVA MONIZ BARRETO,Creche Parceira,8.1,Jardim Sulacap,39,34,1,-22.88886,-43.3991
0008027,CP CENTRO EDUCACIONAL MUNDO DA MÔNICA,Creche Parceira,8.9,Bangu,21,12,2,-22.89334,-43.46445
0009001,CP CRECHE COMUNITÁRIA SANTA RITA,Creche Parceira,9.16,Campo Grande,31,23,0,-22.90951,-43.53293
0009002,CP CRECHE SAGRADA FAMÍLIA,Creche Parceira,9.15,Campo Grande,19,23,0,-22.90369,-43.53572
0009003,CP CRECHE SÃO JORGE,Creche Parceira,9.17,Campo Grande,26,20,0,-22.92398,-43.52999
0009004,CP CRECHE E PRÉ-ESCOLA CANTINHO DO SABER,Creche Parceira,9.12,Campo Grande,92,78,1,-22.8919,-43.60452
0009007,CP INSTITUTO AVELINO - CAMPO GRANDE,Creche Parceira,9.14,Campo Grande,4,6,0,-22.90733,-43.57735
0009008,CP CRECHE COMUNITÁRIA ANA & LU,Creche Parceira,9.19,Campo Grande,35,21,2,-22.91489,-43.56694
0009009,CP CRECHE COMUNITÁRIA CRIANÇAS DE OURO,Creche Parceira,9.20,Campo Grande,102,50,13,-22.93023,-43.55806
0009010,CP CRECHE JARDIM ESCOLA RIO DA PRATA,Creche Parceira,9.16,Campo Grande,95,74,0,-22.9164,-43.5345
0009011,CP CRECHE NOVA JERUSALÉM EM CAMPO GRANDE,Creche Parceira,9.9,Campo Grande,90,84,0,-22.89458,-43.60037
0009012,CP CRECHE COMUNITÁRIA TIA NEIDE - CAMPO GRANDE,Creche Parceira,9.6,Campo Grande,115,80,0,-22.87946,-43.61508
0009013,CP CRECHE COMUNITÁRIA SOL DO SABER,Creche Parceira,9.2,Santíssimo,108,56,27,-22.87444,-43.52549
0009014,CP INSTITUTO DE ENSINO AVANÇADO,Creche Parceira,9.14,Cosmos,166,78,26,-22.91434,-43.61417
0009017,CP ESPAÇO CRESCER,Creche Parceira,9.16,Campo Grande,152,109,0,-22.91264,-43.53939
0009018,CP ESPAÇO DE DESENVOLVIMENTO CARIOQUINHA,Creche Parceira,9.22,Cosmos,98,70,0,-22.92836,-43.60332
0009019,CP ASSOCIAÇÃO DE MORADORES UNIÃO DAS BASES DE URUCÂNIA E ADJACÊNCIAS - COSMOS,Creche Parceira,9.12,Cosmos,82,61,0,-22.88994,-43.60561
0009020,CP ASSOCIAÇÃO DE MORADORES UNIÃO DAS BASES DE URUCÂNIA E ADJACÊNCIAS - CAMPO GRANDE,Creche Parceira,9.14,Campo Grande,41,33,12,-22.90717,-43.57941
0009021,CP INSTITUTO CRESCER & APRENDER,Creche Parceira,9.11,Inhoaíba,191,187,0,-22.90626,-43.59867
0009022,CP ESPAÇO CRIATIVO CASTELINHO RINALDI,Creche Parceira,9.22,Inhoaíba,117,52,4,-22.91745,-43.60024
0009023,CP ESPAÇO CRIATIVO SALOMÃO,Creche Parceira,9.23,Cosmos,60,36,4,-22.91565,-43.60693
0009024,CP CRECHE COMUNITÁRIA DOCE INFÂNCIA,Creche Parceira,9.23,Inhoaíba,78,52,2,-22.91588,-43.60349
0009025,CP INSTITUTO Ô LUAR,Creche Parceira,9.4,Campo Grande,27,27,1,-22.88272,-43.56714
0009026,CP CRECHE COMUNITÁRIA LEÃOZINHO FELIZ,Creche Parceira,9.13,Cosmos,97,52,1,-22.90216,-43.61082
0009027,CP INSTITUTO FRUTIFICAR,Creche Parceira,9.13,Cosmos,77,33,21,-22.90722,-43.60736
0009028,CP CRECHE COMUNITÁRIA ALÉM DO ARCO-ÍRIS,Creche Parceira,9.4,Campo Grande,106,54,15,-22.88237,-43.57008
0009029,CP INSTITUTO CRECHE DO PAPAI,Creche Parceira,10.28,Campo Grande,115,43,1,-22.95044,-43.56709
0009030,CP ESPAÇO DE DESENVOLVIMENTO PEDRITA,Creche Parceira,9.4,Campo Grande,92,68,0,-22.86709,-43.5593
0009031,CP ESPAÇO CRIATIVO TURMINHA DO BAIRRO,Creche Parceira,9.9,Campo Grande,69,46,0,-22.89867,-43.57786
0009032,CP SOLDADINHOS DE DEUS,Creche Parceira,9.21,Campo Grande,31,17,2,-22.91303,-43.58236
0009033,CP TEMPO DE CRIANÇA,Creche Parceira,9.9,Campo Grande,90,49,0,-22.89612,-43.57793
0009034,CP CRECHE COMUNITÁRIA ARTE DA CRIANÇA,Creche Parceira,9.18,Campo Grande,50,38,0,-22.90765,-43.54105
0009035,CP INSTITUTO CRESCER E APRENDER - FILIAL,Creche Parceira,9.8,Campo Grande,84,59,0,-22.90268,-43.57109
0009036,CP INSTITUTO CONSTRUINDO AMANHÃ,Creche Parceira,9.15,Senador Vasconcelos,134,63,20,-22.8962,-43.53573
0009037,CP CRECHE COMUNITÁRIA AURINA,Creche Parceira,9.19,Campo Grande,45,31,0,-22.91974,-43.55759
0009039,CP CRECHE COMUNITÁRIA ESTRELINHA DO SABER,Creche Parceira,9.20,Campo Grande,50,19,1,-22.93345,-43.56384
0009040,CP CRECHE E ESCOLA COMUNITARIA GENTE BAIXINHA - UNIDADE COSMOS,Creche Parceira,9.13,Cosmos,108,27,13,-22.90761,-43.61597
0009041,CP CRECHE COMUNITÁRIA PEQUENOS PASSOS,Creche Parceira,9.4,Campo Grande,46,23,12,-22.88208,-43.56469
0009042,CP CRECHE PEQUENA CANAÃ,Creche Parceira,9.8,Campo Grande,23,15,0,-22.89855,-43.56794
0009043,CP CRECHE COMUNITÁRIA RIBEIRO,Creche Parceira,9.15,Senador Vasconcelos,55,29,2,-22.89184,-43.53047
0009044,CP CRECHE COMUNITÁRIA JARDIM FELIZ,Creche Parceira,9.15,Senador Vasconcelos,57,45,0,-22.90041,-43.53366
0009045,CP CRECHE COMUNITÁRIA PINTANDO SONHOS,Creche Parceira,9.7,Campo Grande,63,13,24,-22.88529,-43.55016
0009046,CP CRECHE COMUNITÁRIA URSINHO PIMPÃO,Creche Parceira,9.7,Santíssimo,160,23,53,-22.87472,-43.51354
0010001,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA TIA ANASTÁCIA,Creche Parceira,10.22,Santa Cruz,80,77,0,-22.96921,-43.66113
0010004,CP ESCOLA COMUNITÁRIA JARDIM BALÃO MÁGICO,Creche Parceira,10.7,Santa Cruz,14,15,3,-22.90336,-43.71409
0010005,CP CRECHE COMUNITÁRIA JARDIM PEDRA AZUL,Creche Parceira,10.27,Pedra de Guaratiba,17,16,0,-22.98161,-43.62566
0010006,CP CRECHE ESCOLA COMUNITÁRIA ISMÊNIA RIBEIRO,Creche Parceira,10.11,Santa Cruz,70,65,3,-22.93625,-43.69207
0010008,CP CRECHE COMUNITÁRIA JARDIM ESPERANÇA,Creche Parceira,9.23,Santa Cruz,53,48,1,-22.92159,-43.60487
0010009,CP JARDIM ESCOLA ERNESTO FAGUNDES VARELA,Creche Parceira,10.9,Sepetiba,44,42,0,-22.96847,-43.70721
0010010,CP ESCOLA COMUNITÁRIA JARDIM ARCO-ÍRIS,Creche Parceira,10.15,Santa Cruz,60,65,1,-22.93673,-43.66903
0010011,CP CRECHE PINGUINHO DE GENTE,Creche Parceira,10.11,Santa Cruz,16,11,2,-22.92193,-43.68943
0010013,CP ESCOLA COMUNITÁRIA ENCANTO DE MARIA,Creche Parceira,10.27,Santa Cruz,32,31,0,-22.98837,-43.63944
0010014,CP CRECHE COMUNITÁRIA SÃO JOÃO BATISTA,Creche Parceira,10.24,Pedra de Guaratiba,14,15,3,-22.98416,-43.65166
0010018,CP CRECHE ESCOLA COMUNITÁRIA SÍTIO ALEGRE,Creche Parceira,10.21,Sepetiba,177,171,0,-22.95394,-43.68347
0010019,CP ESCOLA COMUNITÁRIA JARDIM ALEXANDRINO,Creche Parceira,10.13,Santa Cruz,131,111,4,-22.93446,-43.67244
0010020,CP CASA MATERNAL NOSSA SENHORA DE NAZARÉ,Creche Parceira,10.17,Santa Cruz,102,88,0,-22.93204,-43.65063
0010022,CP ASSOCIAÇÃO DE MORADORES E AMIGOS DO PARQUE ESTORIL - AMAPE,Creche Parceira,10.18,Paciência,134,150,0,-22.9226,-43.63206
0010023,CP CRECHE ESCOLA SOSSEGO DA MAMÃE,Creche Parceira,10.6,Santa Cruz,49,40,0,-22.89736,-43.67945
0010024,CP CRECHE COMUNITÁRIA MUNDO ENCANTADO DA CRIANÇA,Creche Parceira,10.8,Santa Cruz,113,69,14,-22.90224,-43.72044
0010026,CP CRECHE E ESCOLA COMUNITÁRIA GENTE BAIXINHA I,Creche Parceira,10.4,Paciência,149,90,0,-22.91791,-43.62659
0010027,CP CRECHE CASULO AGOSTINHO - SANTA CRUZ,Creche Parceira,10.6,Santa Cruz,123,92,9,-22.90966,-43.67976
0010028,CP CRECHE CASULO AGOSTINHO - VERIDIANA,Creche Parceira,10.16,Santa Cruz,75,69,1,-22.94825,-43.66536
0010029,CP ASSOCIAÇÃO DE MORADORES DAS MORADAS DO IMPÉRIO,Creche Parceira,10.10,Santa Cruz,56,49,0,-22.91704,-43.69961
0010030,CP INSTITUTO AVELINO - GUARATIBA,Creche Parceira,10.22,Pedra de Guaratiba,18,45,8,-22.97091,-43.65353
0010032,CP CRECHE COMUNITÁRIA MUNDO MÁGICO,Creche Parceira,10.11,Santa Cruz,114,107,0,-22.93267,-43.69154
0010033,CP PROJETO QUEBRA CABEÇA,Creche Parceira,10.23,Sepetiba,44,23,17,-22.98573,-43.69129
0010034,CP OS BENEDITINHOS,Creche Parceira,10.15,Santa Cruz,81,67,0,-22.92996,-43.65597
0010035,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA CHAVE DO TAMANHO,Creche Parceira,10.9,Sepetiba,89,63,18,-22.97224,-43.69661
0010036,CP CAAD DONA ZULMIRA TELLES,Creche Parceira,10.10,Santa Cruz,97,87,1,-22.92066,-43.69698
0010037,CP CAAD - COMITÊ DE ATENDIMENTO À CRIANÇA E AO ADOLESCENTE,Creche Parceira,10.6,Santa Cruz,57,54,0,-22.89778,-43.6834
0010039,CP FUNDAÇÃO KLINGNER PARA O DESENVOLVIMENTO SOCIAL,Creche Parceira,10.21,Santa Cruz,192,176,0,-22.94542,-43.68158
0010040,CP CICIM I,Creche Parceira,10.27,Sepetiba,147,106,6,-23.00534,-43.62616
0010041,CP CRECHE BEZERRA DE MENEZES - SANTA CRUZ,Creche Parceira,10.12,Santa Cruz,125,101,9,-22.92397,-43.67806
0010042,CP CICIM II,Creche Parceira,10.21,Sepetiba,91,72,7,-22.94751,-43.67828
0010043,CP CRECHE CANTINHO CASLU,Creche Parceira,10.18,Paciência,45,28,15,-22.92932,-43.63725
0010044,CP CRECHE COMUNITÁRIA MAGIA DA CRIANÇA,Creche Parceira,10.10,Santa Cruz,69,36,23,-22.93376,-43.70068
0010045,CP ESPAÇO CRIATIVO ERA UMA VEZ,Creche Parceira,10.6,Santa Cruz,43,41,2,-22.9057,-43.6697
0010047,CP CENTRO CULTURAL MONTESSORI - SANTA CRUZ,Creche Parceira,10.7,Santa Cruz,78,40,17,-22.9059,-43.7084
0010053,CP CRECHE COMUNITÁRIA GÊNIO DO FUTURO,Creche Parceira,10.23,Santa Cruz,187,129,0,-22.98306,-43.68632
0010054,CP CRECHE COMUNITÁRIA AQUARELA DO SABER,Creche Parceira,10.11,Santa Cruz,13,12,0,-22.92614,-43.68532
0010055,CP ESPAÇO DE DESENVOLVIMENTO MÃE GAIA,Creche Parceira,10.23,Sepetiba,121,120,0,-22.97657,-43.69659
0010056,CP CRECHE MUNDO DA BIBI,Creche Parceira,10.13,Santa Cruz,76,53,2,-22.93585,-43.68192
0010057,CP CENTRO CULTURAL MONTESSORI - PACIÊNCIA,Creche Parceira,9.14,Paciência,182,189,0,-22.91426,-43.60254
0010058,CP CRECHE ESCOLA COMUNITÁRIA MALLETZINHO,Creche Parceira,10.9,Sepetiba,186,136,2,-22.97265,-43.70832
0010059,CP CRECHE COMUNITÁRIA PLANETA BEBÊ,Creche Parceira,10.6,Santa Cruz,45,28,0,-22.90309,-43.67469
0010060,CP CRECHE COMUNITÁRIA JARDIM DO CONHECIMENTO,Creche Parceira,10.11,Santa Cruz,44,45,1,-22.92958,-43.68569
0010061,CP CRECHE COMUNITÁRIA ESTRELA DO AMANHÃ,Creche Parceira,10.15,Santa Cruz,30,18,1,-22.93413,-43.66251
0010062,CP CENTRO CULTURAL DE DESENVOLVIMENTO INFANTIL JOÃO BATISTA,Creche Parceira,10.24,Guaratiba,49,31,10,-22.97964,-43.66379
0010063,CP CRECHE COMUNITÁRIA UNIVERSO INFANTIL,Creche Parceira,10.22,Guaratiba,109,66,23,-22.96041,-43.64983
0010064,CP CRECHE COMUNITÁRIA CORAÇÃO DE MÃE,Creche Parceira,10.3,Paciência,128,86,31,-22.88824,-43.63861
0010065,CP CRECHE MAGIA DA CRIANÇA II,Creche Parceira,10.23,Sepetiba,58,49,0,-22.97923,-43.69058
0010066,CP CRECHE COMUNITÁRIA ARTE & CULTURA,Creche Parceira,10.5,Santa Cruz,140,102,7,-22.90687,-43.6581
0010067,CP CRECHE COMUNITÁRIA ARCA DE NOÉ,Creche Parceira,10.21,Santa Cruz,80,70,0,-22.94696,-43.67592
0010068,CP CRECHE COMUNITÁRIA TIA NEIDE - GUARATIBA,Creche Parceira,10.22,Guaratiba,88,85,0,-22.96729,-43.65904
0010069,CP CRECHE E ESCOLA COMUNITÁRIA GENTE BAIXINHA II,Creche Parceira,10.4,Paciência,170,50,16,-22.91875,-43.62709
0010070,CP PEDACINHO DO CÉU,Creche Parceira,10.16,Santa Cruz,54,32,0,-22.93288,-43.65333
0010071,CP CRECHE COMUNITÁRIA ARTE & CULTURA - UNIDADE I,Creche Parceira,10.27,Pedra de Guaratiba,138,146,3,-22.99276,-43.64814
0010073,CP NINHO CARIOCA,Creche Parceira,10.25,Guaratiba,184,93,83,-22.94731,-43.60089
0010074,CP CRECHE MUNDO MÁGICO II,Creche Parceira,10.3,Paciência,80,59,20,-22.88981,-43.63757
0010075,CP CRECHE COMUNITÁRIA PEDACINHO DE CÉU,Creche Parceira,10.15,Santa Cruz,111,85,2,-22.93109,-43.66661
0010076,CP ESPAÇO DE DESENVOLVIMENTO MÃE GAIA - UNIDADE I,Creche Parceira,10.11,Santa Cruz,68,61,0,-22.93295,-43.69764
0010077,CP CRECHE COMUNITÁRIA CANTINHO DO SABER,Creche Parceira,10.11,Santa Cruz,26,20,0,-22.92954,-43.69489
0010078,CP CRECHE COMUNITÁRIA CRIANÇA FELIZ,Creche Parceira,10.13,Santa Cruz,33,16,1,-22.94064,-43.67972
0010080,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL XII (GUARATIBA),Creche Parceira,10.24,Pedra de Guaratiba,63,63,5,-22.98237,-43.65473
0010081,CP CENTRO EDUCACIONAL ESTRELA DO AMANHÃ,Creche Parceira,10.29,Guaratiba,207,48,96,-23.01107,-43.53864
0010082,CP CRECHE ESCOLA BAIXINHOS SABIDOS,Creche Parceira,10.5,Paciência,31,15,3,-22.91765,-43.65719
0010083,CP CRECHE COMUNITÁRIA CRISTÃ CORDEIRINHO DE CRISTO,Creche Parceira,10.25,Guaratiba,8,11,4,-22.95184,-43.60696
0010084,CP CRECHE COMUNITÁRIA AQUARELA DO SABER (GUARATIBA),Creche Parceira,9.20,Guaratiba,87,46,14,-22.93972,-43.57757
0010085,CP CRECHE VIDA,Creche Parceira,10.26,Guaratiba,14,23,1,-22.96926,-43.62339
0011001,CP CRECHE COMUNITÁRIA ALEGRIA DA CRIANÇA,Creche Parceira,11.2,Ilha do Governador / Parque Royal,41,51,6,-22.79554,-43.20989
0011003,CP AMIG - ASSOCIAÇÃO DOS MORADORES DA ILHA DO GOVERNADOR,Creche Parceira,11.6,Ilha do Governador / Pitangueiras,152,91,16,-22.81567,-43.17681
0011004,CP CENTRO DE ATIVIDADES EDUCACIONAIS E CULTURAIS ARCA DE NOÉ - CAECAN,Creche Parceira,11.3,Ilha do Governador / Guarabu,122,99,10,-22.80427,-43.19551
0011006,CP CRECHE CASULO DO DENDÊ,Creche Parceira,11.4,Ilha do Governador / Tauá,193,175,22,-22.79948,-43.18549
0011007,CP CRECHE ESFERA KIDS,Creche Parceira,11.5,Ilha do Governador,46,38,5,-22.79792,-43.17526
0011008,CP FILIAL BANCÁRIOS - RJ,Creche Parceira,11.5,Ilha do Governador / Tauá,61,67,3,-22.7881,-43.1831
0011009,CP CRECHE COMUNITÁRIA IRMÃ MOROCHA (CCIM),Creche Parceira,11.5,Freguesia,77,47,13,-22.78936,-43.17063
0101601,CM LADEIRA DOS FUNCIONÁRIOS,Creche,1.1,Caju,45,51,0,-22.87915,-43.22431
0101602,CM VIRGÍNIA LEMOS,Creche,1.1,Caju,11,40,0,-22.88642,-43.23321
0101603,CM SENNINHA,Creche,1.1,Caju,109,57,7,-22.88299,-43.2287
0101604,CM SEMPRE VIDA P. CONQUISTA,Creche,1.1,Caju,30,41,0,-22.87783,-43.22642
0101605,CM CLEMENTE FERREIRA,Creche,1.1,Caju,76,65,2,-22.87601,-43.22274
0101606,CM QUINTA DO CAJU,Creche,1.1,Caju,75,75,0,-22.87532,-43.21162
0101607,CM TIA DORA,Creche,1.6,Santo Cristo,111,77,6,-22.89811,-43.19752
0101801,EDI PARQUE DA ALEGRIA,EDI,1.1,Caju,130,106,2,-22.88449,-43.23098
0101802,EDI MACHADO DE ASSIS,EDI,1.5,Santo Cristo,45,78,6,-22.902,-43.20065
0101803,EDI ANTÔNIO RAPOSO TAVARES,EDI,1.6,Gamboa,21,25,0,-22.89565,-43.19424
0102601,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,Creche,1.9,Estácio,91,59,3,-22.91898,-43.20296
0102602,CM ANA MARIA DA CRUZ SILVA,Creche,1.9,Cidade Nova,121,142,0,-22.9123,-43.19678
0102604,CM ARCO-ÍRIS,Creche,1.7,Centro,114,63,2,-22.91079,-43.18171
0102605,CM ALDEIA DOS CURUMINS,Creche,1.7,Centro,118,68,0,-22.91684,-43.18595
0102606,CM GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,Creche,1.7,Centro,127,68,8,-22.9069,-43.19364
0102802,EDI CAMPOS SALLES,EDI,1.7,Centro,8,14,0,-22.90808,-43.18654
0102803,EDI RACHEL DE QUEIROZ,EDI,1.7,Praça Onze,26,28,0,-22.90702,-43.19472
0103601,CM ESPAÇO LIVRE DA CRIANÇA,Creche,1.9,Estácio,17,19,0,-22.91612,-43.20335
0103602,CM DIREITOS HUMANOS,Creche,1.11,Rio Comprido,45,33,0,-22.93134,-43.20123
0103604,CM SONHO INFANTIL,Creche,1.10,Rio Comprido - Turano,34,31,1,-22.92716,-43.21438
0103605,CM BRINCADEIRAS DE CRIANÇA,Creche,1.8,Rio Comprido,60,58,0,-22.91893,-43.19801
0103606,CM CAMPOS DA PAZ,Creche,1.10,Rio Comprido,52,43,0,-22.92246,-43.204
0103607,CM ESTÁCIO DE SÁ,Creche,1.9,Estácio,98,74,0,-22.91397,-43.20389
0103801,EDI PROFESSORA SIMONE SOUSA PIMENTEL,EDI,1.10,Rio Comprido,78,33,3,-22.92763,-43.21325
0103802,EDI LILY MARINHO,EDI,1.8,Catumbi,69,45,0,-22.919,-43.19337
0103804,EDI ZÉLIA GATTAI AMADO,EDI,1.11,Rio Comprido,35,34,0,-22.92687,-43.20093
0103805,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,EDI,1.9,Estácio,16,16,0,-22.91986,-43.20513
0103806,EDI FUNDAÇÃO LEÃO XIII,EDI,1.9,Estácio,8,9,0,-22.9196,-43.20321
0103807,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,EDI,1.8,Catumbi,108,85,3,-22.92199,-43.19622
0107601,CM ADALBERTO ISMAEL DE SOUZA,Creche,1.3,São Cristóvão,40,45,0,-22.90637,-43.23248
0107602,CM DEPUTADO LUIZ EDUARDO DE MAGALHÃES,Creche,1.2,São Cristóvão - Tuiuti,51,48,1,-22.89846,-43.2357
0107603,CM VOVÓ LUCÍOLA,Creche,1.3,Mangueira,34,34,0,-22.90271,-43.24086
0107604,CM HOMERO JOSÉ DOS SANTOS,Creche,1.3,Mangueira,94,62,2,-22.9033,-43.23653
0107605,CM EDUARDO MOREIRA DOS SANTOS,Creche,1.3,Mangueira - Morro dos Telégrafos,50,28,5,-22.90268,-43.23586
0107606,CM FRANCISCO ALVES,Creche,1.4,Vasco da Gama,99,79,2,-22.88975,-43.23006
0107607,CM NAÇÃO MANGUEIRENSE,Creche,1.3,Mangueira,82,65,0,-22.90535,-43.23948
0107608,CM SAMORA MACHEL,Creche,4.3,Benfica,93,27,28,-22.88416,-43.24867
0107609,CM VASQUINHO,Creche,1.4,São Cristóvão,94,88,0,-22.88643,-43.22743
0107610,CM ARARA AZUL,Creche,1.2,Benfica,218,71,61,-22.88925,-43.24211
0107801,EDI PROFESSORA DAYSE MALAGOLE,EDI,1.4,Vasco da Gama,19,42,0,-22.89075,-43.23083
0107802,EDI MORRO DOS TELÉGRAFOS,EDI,1.3,São Cristóvão,8,12,0,-22.90029,-43.2367
0107803,EDI DOIS DE JULHO,EDI,1.2,São Cristóvão,25,30,0,-22.89151,-43.23307
0121001,EM JOAQUIM MANUEL DE MACEDO,Escola,1.12,Paquetá,56,55,0,-22.75315,-43.10953
0123601,CM JOSÉ MARINHO DE OLIVEIRA,Creche,1.11,Santa Teresa - Morro dos Prazeres,81,74,0,-22.93491,-43.2025
0123603,CM FALLET,Creche,1.11,Santa Teresa,33,32,0,-22.92724,-43.19576
0123801,EDI HELOÍSA MARINHO,EDI,1.11,Santa Teresa,4,11,0,-22.92956,-43.19495
0204601,CM TIA AMÁLIA,Creche,2.2,Cosme Velho,18,18,0,-22.94145,-43.20555
0204602,CM ARACY GUIMARÃES ROSA,Creche,2.2,Catete,396,77,88,-22.92894,-43.17942
0204804,EDI PROFESSORA SARITA KONDER,EDI,1.11,Laranjeiras,13,19,1,-22.93676,-43.1972
0204805,EDI CLAUDIO CAVALCANTI,EDI,2.1,Botafogo,106,82,14,-22.95442,-43.18819
0204806,EDI IRMA MARGARITA ALARCON,EDI,2.2,Laranjeiras,39,42,0,-22.93112,-43.1905
0205601,CM IRMÃS BAPTISTA,Creche,2.3,Copacabana,163,60,49,-22.96618,-43.18712
0205602,CM TIA SONIA CRISPINIANO,Creche,2.3,Copacabana - Morro dos Cabritos,59,66,1,-22.96286,-43.1939
0205801,EDI DONA MARCELA,EDI,2.3,Leme,35,28,0,-22.9606,-43.16788
0206601,CM DOUTOR SOBRAL PINTO,Creche,2.5,Vidigal,32,24,0,-22.9962,-43.24555
0206602,CM VIDIGAL,Creche,2.5,Vidigal,81,69,0,-22.99383,-43.23527
0206603,CM JACÓ INÁCIO GOMES,Creche,2.10,São Conrado,30,25,0,-22.99435,-43.27092
0206605,CM DOUTOR PEDRO BLOCH,Creche,2.6,Gávea,39,41,1,-22.98146,-43.24052
0206606,CM ELZA MACHADO DOS SANTOS - TIA ELZA,Creche,2.4,Ipanema,57,57,0,-22.98153,-43.19636
0208601,CM CASA BRANCA - PROFESSOR PAULO FREIRE,Creche,2.13,Tijuca,38,40,0,-22.9366,-43.2488
0208603,CM RAÍZES DO SALGUEIRO,Creche,2.12,Tijuca,63,54,5,-22.92822,-43.22567
0208604,CM TIA BELA,Creche,2.13,Tijuca,52,51,0,-22.93817,-43.243
0208605,CM TIA MARIA,Creche,2.13,Tijuca,8,8,0,-22.94349,-43.24161
0208606,CM DOUTOR RONALDO LUIZ GAZOLLA,Creche,2.13,Tijuca,19,15,0,-22.94015,-43.24459
0208607,CM DOS SONHOS,Creche,2.12,Tijuca - Comunidade Chacrinha,21,23,0,-22.9261,-43.22005
0208608,CM DOUTOR SÉRGIO AROUCA,Creche,2.12,Rio Comprido,121,61,0,-22.92256,-43.21548
0208801,EDI IGOR MORAES DA SILVA,EDI,2.11,Alto Boa Vista,63,49,3,-22.97573,-43.28448
0208803,EDI BOREL,EDI,2.11,Tijuca,39,35,0,-22.94098,-43.25352
0209601,CM PIPA NO CÉU,Creche,3.2,Vila Isabel,72,69,0,-22.9068,-43.24238
0209602,CM CANTINHO DO CÉU,Creche,2.13,Tijuca - Andaraí,71,51,0,-22.93097,-43.25058
0209603,CM GALDINO MANOEL DA SILVA,Creche,2.14,Andaraí - Jamelão,17,23,0,-22.93307,-43.26076
0209604,CM NOVA DIVINÉIA,Creche,2.14,Grajaú - Morro Nova Divinéia,22,23,0,-22.92889,-43.26388
0209605,CM SÃO SEBASTIÃO - ARRELIA,Creche,2.14,Andaraí,31,30,0,-22.93652,-43.26185
0209606,CM WINNIE MANDELA,Creche,2.14,Andaraí - Morro do Andaraí,25,23,0,-22.93254,-43.25728
0209607,CM SOLANGE MARIA MAGALHÃES,Creche,2.18,Vila Isabel,17,24,0,-22.91357,-43.25222
0209608,CM GERMINAL DA VILA,Creche,2.18,Vila Isabel,53,53,0,-22.91396,-43.25525
0209609,CM PAPA JOÃO PAULO II,Creche,2.14,Grajaú,76,56,1,-22.92909,-43.26211
0209610,CM FRANCISCO DE PAULA,Creche,2.18,Vila Isabel,40,41,0,-22.91189,-43.24757
0209803,EDI PROFESSORA SUELY DE PINHO CAVALCANTE,EDI,2.17,Vila Isabel,16,22,0,-22.91442,-43.25992
0209804,EDI PROFESSORA LUCIA MARIA QUITETE DE CARVALHO AMARAL,EDI,2.14,Grajaú,10,9,0,-22.92847,-43.26525
