desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0002053,CP CRECHE ESPERANÇA,Creche Parceira,2.5,Leblon,81,50,4,-22.98073,-43.22117
0002054,CP UNIÃO DE MULHERES PRO-MELHORAMENTO DA ROUPA SUJA,Creche Parceira,2.8,Rocinha,33,22,0,-22.99004,-43.2455
0002055,CP CRECHE CASA DO POBRE DE NOSSA SENHORA DE COPACABANA,Creche Parceira,2.3,Copacabana,59,46,15,-22.96882,-43.1833
0002056,CP CRECHE SANTA CLARA DE ASSIS NA PROVIDÊNCIA DE DEUS,Creche Parceira,2.5,Vidigal,59,59,0,-22.99265,-43.2364
0002057,CP CENTRO EDUCACIONAL ESPERANÇA,Creche Parceira,2.11,Alto da Boa Vista,35,35,0,-22.94729,-43.24454
0002058,CP NASCEER - NÚCLEO DE ASSIST. SOCIAL CULTURAL EDUC. ECOLÓGICO DA ROCINHA,Creche Parceira,2.9,Rocinha,48,50,0,-22.98785,-43.24865
0002060,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL - ROCINHA,Creche Parceira,2.8,Rocinha,96,91,0,-22.98638,-43.24528
0002061,CP CRECHE INSTITUTO MACINTYRE,Creche Parceira,2.4,Copacabana,47,44,0,-22.98025,-43.19492
0002063,CP CRECHE ANJOS DO BEM,Creche Parceira,2.16,Grajaú,33,17,4,-22.92058,-43.25421
0003001,CP ASSOCIAÇÃO PRESBITERIANA CUIDANDO DO AMANHÃ - APCA,Creche Parceira,3.6,Engenho de Dentro,69,50,25,-22.9159,-43.29811
0003002,CP ABRIGO MARIA IMACULADA,Creche Parceira,3.1,Rocha,202,203,1,-22.90057,-43.24951
0003003,CP CASA SÃO ROQUE,Creche Parceira,3.10,Méier,104,116,3,-22.89696,-43.28063
0003004,CP CENTRO COMUNITÁRIO NOSSA SENHORA APARECIDA - CRECHE,Creche Parceira,3.10,Cachambi,48,33,0,-22.89434,-43.27341
0003005,CP COLÉGIO RUTH SANT ANNA / JARDIM DE INFÂNCIA CIRANDA CIRANDINHA,Creche Parceira,3.11,Méier,30,45,0,-22.89612,-43.26964
0003006,CP CRECHE CASA VIVA,Creche Parceira,3.6,Engenho de Dentro,236,47,107,-22.89574,-43.2974
0003007,CP CRECHE CHAMEGUINHO,Creche Parceira,3.5,Lins de Vasconcelos,39,31,0,-22.91549,-43.27871
0003008,CP CRECHE COMUNITÁRIA ELIANA SATURNINO BRAGA,Creche Parceira,3.21,Ramos,77,73,4,-22.8636,-43.27257
0003009,CP CRECHE COMUNITÁRIA JOÃO FERREIRA,Creche Parceira,3.23,Ramos,41,45,0,-22.85753,-43.26905
